tweet_text,senti-score,senti-type,all_hashtags,favorite_count,retweet_count,created_at,username,followers_count,location
"BIDEN TRANSITION BEGINS IN THE US AS TRUMP REFUSES TO CONCEDE US President-elect Joe Biden took the first steps on Sunday towards moving into the White House in January, as Donald Trump again refused #Biden #US #Trump #WhiteHouse #Lead #Recovery #RacialEquality #ClimateChange https://t.co/qKMkkORL0J",-0.5555199999999999,negative,"[{'text': 'Biden', 'indices': [200, 206]}, {'text': 'US', 'indices': [207, 210]}, {'text': 'Trump', 'indices': [211, 217]}, {'text': 'WhiteHouse', 'indices': [218, 229]}, {'text': 'Lead', 'indices': [230, 235]}, {'text': 'Recovery', 'indices': [236, 245]}, {'text': 'RacialEquality', 'indices': [246, 261]}, {'text': 'ClimateChange', 'indices': [262, 276]}]",0,0,2020-11-09 12:47:48,itv_sa,9403,South Africa
"""There is no vaccine for poverty, hunger, #climatechange or inequality.  None of these challenges can be addressed in isolation. They are deeply intertwined – and so must be our response""-@DrTedros #WHA73",0.10683000000000004,neutral,"[{'text': 'climatechange', 'indices': [42, 56]}, {'text': 'WHA73', 'indices': [198, 204]}]",5,5,2020-11-09 12:46:48,WHO,8533377,"Geneva, Switzerland"
#murdoch enters #qanda! #cleanupmurdoch #climatechange https://t.co/DxoobQoJiw,0.0,neutral,"[{'text': 'murdoch', 'indices': [0, 8]}, {'text': 'qanda', 'indices': [16, 22]}, {'text': 'cleanupmurdoch', 'indices': [24, 39]}, {'text': 'climatechange', 'indices': [40, 54]}]",0,1,2020-11-09 12:46:25,treacl,2318,"Brisbane, Queensland"
With conservatives stating bluntly that they will not abandon Oil&amp;Gas - how will we counter #climatechange https://t.co/cAqHxDmCTT,-0.73061,negative,"[{'text': 'climatechange', 'indices': [96, 110]}]",0,1,2020-11-09 12:46:03,msignal,254,
"Supply Chain Analyst David Food dives into how environmentally-friendly packaging, innovation and the bio economy can make Supply Chains greener. #GreenSupplyChain #GreenEnergy #Environment #ClimateChange https://t.co/u7Om3PqtXR",1.1504299999999998,positive,"[{'text': 'GreenSupplyChain', 'indices': [146, 163]}, {'text': 'GreenEnergy', 'indices': [164, 176]}, {'text': 'Environment', 'indices': [177, 189]}, {'text': 'ClimateChange', 'indices': [190, 204]}]",0,1,2020-11-09 12:46:00,TransINFOglobal,587,
"Life isn't secure anymore here. Not even the greatest powers can defend the ultimate blow. #climatechange was a mistake which we made...  But, I don't want to die mistakenly by that mistake... And if you too then defend your right to live, because #ourlivesmatter &amp; #Wewanttolive",1.1882900000000003,positive,"[{'text': 'climatechange', 'indices': [91, 105]}, {'text': 'ourlivesmatter', 'indices': [248, 263]}, {'text': 'Wewanttolive', 'indices': [270, 283]}]",0,1,2020-11-09 12:45:25,PlasmaTears,1,
#climatechange aware gingerbread cookie https://t.co/Y8rGXpXjYU,0.45985,neutral,"[{'text': 'climatechange', 'indices': [0, 14]}]",1,1,2020-11-09 12:45:23,ZitaPatai,697,"London, England"
EU-Australia trade deal discussed from animal welfare point of view: no more #kangeroo meat for EU? NB On preventing extreme weather &amp; #climatechange EU can help #Australia  https://t.co/ePXgUjwN90,1.45494,positive,"[{'text': 'kangeroo', 'indices': [77, 86]}, {'text': 'climatechange', 'indices': [139, 153]}, {'text': 'Australia', 'indices': [166, 176]}]",0,1,2020-11-09 12:45:18,EurEnvlLaw,1653,The Netherlands
10 Ways The Biden Administration Can Restore U.S. Climate Leadership https://t.co/tZu3yKOcJq #climatechange #climate #savetheplanet #climatecrisis #GlobalWarming #CarbonFree #Environment #Sustainable #ClimateChangeisReal https://t.co/AVaf8Oo2Uk,0.10175000000000001,neutral,"[{'text': 'climatechange', 'indices': [93, 107]}, {'text': 'climate', 'indices': [108, 116]}, {'text': 'savetheplanet', 'indices': [117, 131]}, {'text': 'climatecrisis', 'indices': [132, 146]}, {'text': 'GlobalWarming', 'indices': [147, 161]}, {'text': 'CarbonFree', 'indices': [162, 173]}, {'text': 'Environment', 'indices': [174, 186]}, {'text': 'Sustainable', 'indices': [187, 199]}, {'text': 'ClimateChangeisReal', 'indices': [200, 220]}]",0,1,2020-11-09 12:45:08,thecarboncurve,11,
Photo By Noupload | Pixabay - via @Crowdfire    #climatechange #course #space #climatechange #environment #climate #cosmos #earth https://t.co/1GE1ap17Yu,-0.10451,neutral,"[{'text': 'climatechange', 'indices': [48, 62]}, {'text': 'course', 'indices': [63, 70]}, {'text': 'space', 'indices': [71, 77]}, {'text': 'climatechange', 'indices': [78, 92]}, {'text': 'environment', 'indices': [93, 105]}, {'text': 'climate', 'indices': [106, 114]}, {'text': 'cosmos', 'indices': [115, 122]}, {'text': 'earth', 'indices': [123, 129]}]",0,0,2020-11-09 12:44:29,miltonkeynetaxi,1912,Milton Keynes
