"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.336669971056297","0.328853454714298","0.307852066537259","0.337440728233268","0.310511442655369","0.317999604959048","0.316617417774093","0.303977101533538","0.313232190376058","0.306384449516015","0.817783429166746","0.834902220951997","0.860065110029143","0.870361213972597","0.802259874490056","0.798834980046339","0.76627515811449","0.761721309483287","0.704159453384349","0.772372281556374","0.756203125154441","0.713960636849258","0.391958330854801","0.22900409914621","0.230765110971325","0.234199551063003","0.225563496529439","","","","",
"Afghanistan","AFG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0540211456071763","0.0552407958407465","0.0400623125237344","0.0505780579058494","0.0579233049075179","0.0682774667121321","0.119223720563961","0.156872876427234","0.169526340794991","0.239145094139735","0.18025559130451","0.139147883462386","0.122607965680338","0.125786921534627","0.115125787152592","","","","",
"Angola","AGO","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.132150217365523","0.125937485955836","0.133498055467249","0.190681103437604","0.124104664994492","0.298173700894341","0.245734648326091","0.1589424683117","0.148638992035939","0.179657867921722","0.177691187854331","0.170193841557634","0.191831591788134","0.13087616222662","0.238138677338978","0.204649462274765","0.206981222011073","0.199712181355115","0.180129444037834","0.191604162881888","0.188842442523393","0.188179347157289","0.183621669113243","0.168575232545612","0.203531053846413","0.169026740011005","0.169340042024466","","","","",
"Albania","ALB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.658371385924578","0.687502277077439","0.425000430235911","0.351872514795169","0.262173662104463","0.245592020457196","0.213677988410055","0.180498587690742","0.185458486795895","0.276572542315899","0.25326405498625","0.244876772864991","0.26377254890036","0.282845734325733","0.253782545137341","0.240821822895353","0.198604677038995","0.181744148218868","0.180390182045114","0.169540106817407","0.163834306986171","0.176700182758223","0.161307046242965","0.160560312129461","0.168756387011699","0.137425073955","0.131398114834477","","","","",
"Andorra","AND","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.429234499558624","0.438479934765662","0.440909603221034","0.465601964376107","0.455417358439544","0.40983315381149","0.393971677770658","0.364059871610828","0.356257361508653","0.349434280938338","0.369064721478293","0.35341881473404","0.353396726888864","0.356217924755637","0.348421192501166","0.336595181336443","0.322643692092151","0.295986168426373","0.300790418419634","0.314198150468147","0.308186400686289","0.29472095423224","0.299584262709352","0.290963861167834","0.307239260460809","0.337682719315006","0.336326717899924","","","","",
"United Arab Emirates","ARE","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.326100569573363","0.342820538744886","0.330737749044391","0.362106075534992","0.367607581185802","0.325996595550071","0.314542883015149","0.286844389931228","0.312743800686796","0.288125519537791","0.365132186339181","0.31743411037807","0.254684465162492","0.289883031196054","0.27305775502863","0.259012021581652","0.24398625757642","0.252280368609437","0.278048996646238","0.311794041400082","0.285942383854268","0.283410944920884","0.347934447196989","0.340977158553597","0.333378735331735","0.32397214924605","0.344555626535009","","","","",
"Argentina","ARG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.477806954213105","0.442192798583203","0.415097849513478","0.364159762684252","0.349686059794609","0.368534493576032","0.361813563616274","0.336314233707898","0.324444841969429","0.348007849895562","0.331789277035158","0.319532333782967","0.329240296600782","0.321635252085333","0.335175606782827","0.307185510692021","0.298640128011228","0.266399724909874","0.271098931372205","0.272143162437928","0.25505596714433","0.240350474301527","0.235485796119431","0.227987633128167","0.233097076981657","0.231980332537406","0.227452976137376","","","","",
"Armenia","ARM","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.09256083853862","0.513322164219439","0.504890006159692","0.582952808535723","0.406437189989474","0.487944935606983","0.467531711966827","0.399933432251358","0.424668574683998","0.387580512033642","0.289601445513169","0.280955867120906","0.263216489121611","0.267402873170409","0.230829642499079","0.228338233788953","0.23003612846068","0.208718323540687","0.194911899544723","0.213010014376747","0.210849371094269","0.192870302254489","0.189174077210507","0.16469969145214","0.16404500576639","","","","",
"American Samoa","ASM","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
